Half Light Radius (pc),Sigma Line of Sight (km/s),Dynamical Mass,log10(Stellar Mass),Mdyn / L,Stellar Mass
2544.259961,20.2,8.38269478,9.463829996,0.1659184873,2909577945
451.4385602,35,8.109165298,8.837029996,0.3742530063,687115896.3
1440.014915,10.8,7.591645059,8.281029996,0.4089263147,190998517.4
520.2491571,16,7.490881908,8.165029996,0.4235277857,146227816.8
1085.206939,27.6,8.283761284,8.949029996,0.4322761588,889262535.6
91.48599311,92,8.255360819,8.769029996,0.6128593534,587529930.8
443.5838853,24,7.773828801,8.177029996,0.7903670031,150324578.9
302.5115693,9.6,6.811715012,7.125029996,0.9721091068,13336135.39
229.3865775,9.2,6.654574214,6.961029996,0.987584383,9141763.799
260.9341364,9.4,6.729217164,6.949029996,1.205638655,8892625.356
695.3578598,12.1,7.374209666,7.590229996,1.216213068,38925123.22
754.899069,17.5,7.730395545,7.933029996,1.254283025,85709704.15
1681.745486,23.2,8.323166798,8.505029996,1.315730062,319911606
365.7362015,9,6.838083526,6.985029996,1.4258818,9661176.048
922.8609677,8.4,7.180125408,7.193029996,1.941446412,15596602.22
1570.013814,11.4,7.676143734,7.633029996,2.208735613,42956609.52
223.2629669,9.2,6.642822904,6.541029996,2.528266811,3475601.66
775.9169127,13,7.48413248,7.345029996,2.755068997,22132475.7
164.9560058,7.4,6.322262129,6.121029996,3.178792127,1321386.897
942.1968107,7.8,7.124761393,6.921029996,3.197138076,8337387.676
204.7012403,6.2,6.262334411,6.049029996,3.268394046,1119515.204
320.5993596,7.8,6.656582413,6.421029996,3.44018987,2636513.479
575.3253322,8.3,6.964500239,6.709029996,3.601639483,5117171.778
273.7630616,4.2,6.050303987,5.781029996,3.717953781,603990.3445
652.1949491,12.3,7.360618211,7.089029996,3.737818513,12275240.11
218.4435144,2.9,5.630565708,5.353029996,3.789358615,225439.4914
246.6472432,4,5.962626806,5.581029996,4.815338321,381092.1439
520.8305622,10.3,7.108801467,6.717029996,4.929484061,5212307.104
248.1632556,6.6,6.400255907,6.005029996,4.968850231,1011649.325
236.3783156,8,6.546218165,6.149029996,4.991351614,1409386.139
399.5678925,12.4,7.154864511,6.753029996,5.0450388,5662783.996
581.4009653,3.7,6.267309754,5.865029996,5.050213676,732875.1499
126.8689342,3.8,5.629353042,5.221029996,5.120979552,166352.7543
227.677021,4.9,6.104141918,5.637029996,5.863297326,433540.8213
747.2345986,10.2,7.257087873,6.773029996,6.096602399,5929662.784
242.0368047,9.3,6.687277865,6.181029996,6.416199583,1517155.151
123.4527959,2.8,5.35224755,4.789029996,7.315559546,61521.93634
330.7428051,7.9,6.681175145,6.077029996,8.03850238,1194070.574
307.1541747,5.3,6.302338719,5.689029996,8.209916095,488686.1109
1057.987925,2.34,6.129342983,5.506229996,8.397364072,320796.7767
268.6259975,9.3,6.732544496,6.029029996,10.10519028,1069128.72
242.3093049,5.7,6.262550361,5.501029996,11.54915901,316978.6387
193.2777075,9.1,6.570695108,5.779829996,12.35648959,602323.7611
236.3784922,9.9,6.731308905,5.897029996,13.65554082,788914.6048
52.83765905,2.7,4.952101654,4.117029996,13.68049002,13092.72349
235.9301609,8.6,6.608210924,5.725029996,15.28308131,530921.1128
898.5575194,7.1,7.022493138,6.137029996,15.36360517,1370976.454
156.668705,7.5,6.311535338,5.425029996,15.40051832,266090.8838
326.8136026,7.6,6.642357866,5.725029996,16.53323602,530921.1128
303.7120056,10.5,6.891271115,5.953029996,17.34886688,897490.7806
344.9523289,7.9,6.699443821,5.721029996,19.03022051,526053.5988
737.2248418,6.1,6.804690188,5.809029996,19.80113969,644213.7588
119.2198052,5.8,5.969634952,4.941029996,21.3616577,87303.16652
76.91299804,4.2,5.498928879,4.462629996,21.74347126,29015.4958
41.86451843,3.3,5.025304537,3.933029996,24.73457979,8570.970415
191.5314326,6.4,6.261030562,5.153029996,25.64664508,142242.7028
54.78293934,4.6,5.430591551,4.301029996,26.9520343,20000.00002
2389.394157,5.98,7.298120723,6.125029996,29.79344495,1333613.539
81.37314696,7.1,5.979428367,4.773029996,32.16831899,59296.62784
179.2007277,6.9,6.297468508,5.081029996,32.92065805,120511.9173
23.49867918,1.2,3.895836501,2.673029996,33.40692489,471.0098571
101.8823327,3.4,5.437487272,4.213029996,33.53414761,16331.64744
2175.900875,7.8,7.48825887,6.253029996,34.37627933,1790729.532
76.79233291,3.4,5.314706253,4.062629996,35.73602577,11551.27694
161.0535475,4.6,5.898916516,4.641029996,36.21733712,43755.23251
119.1009866,5.1,5.857486269,4.555829996,40.05772388,35960.85393
114.5284706,2.5,5.221224036,3.885029996,43.37345675,7674.144916
408.0901504,10.9,7.052039666,5.685029996,46.56286191,484205.8097
33.29016986,2.9,4.813542564,3.409029996,50.76244871,2564.661167
118.0646481,7.6,6.200177619,4.785029996,52.02087091,60957.89984
184.3974046,11.8,6.775949376,5.329029996,55.96923561,213319.2244
55.03962876,4.6,5.432621717,3.949029996,60.90062037,8892.625356
36.65191429,3.6,5.043132221,3.473029996,74.3245384,2971.871287
20.20867193,4,4.876088314,3.245029996,85.52406081,1758.045035
56.55893072,5.4,5.583719267,3.945029996,87.04007702,8811.097277
31.78435651,4.9,5.249036141,3.585029996,92.26482039,3846.183461
74.01182497,6.1,5.806391341,4.113029996,98.71686179,12972.68868
91.46208301,3.6,5.440276647,3.657029996,121.4162028,4539.729707
124.7272109,4.7,5.806587484,3.977029996,135.0788901,9484.839713
335.7950173,14.8,7.233028236,5.393029996,138.3656334,247189.4869
82.81573547,5.4,5.74933094,3.901029996,141.0363109,7962.143417
184.5792154,8.6,6.501610255,4.625029996,150.5255611,42172.56303
150.5632807,7,6.234345707,4.289029996,176.3379171,19454.94449
20.34059449,5.6,5.171170253,3.193029996,190.1823689,1559.660222
92.32759901,6.7,5.983911705,4.001029996,192.270079,10023.74468
164.6811731,3.8,5.742641703,3.733029996,204.4756995,5407.916732
19.74567975,3.7,4.798306095,2.753029996,221.9760376,566.2783996
99.28279234,4.3,5.630241452,3.433029996,314.9498832,2710.378827
1.851201224,3.7,3.770287634,1.353029996,522.7422871,22.54394914
450.0798314,10.7,7.078487665,4.529029996,708.7411757,33808.81866